index,balance
1,1000
2,995.285524568393
3,988.8984560445874
4,979.0094714841415
5,978.7096217225846
6,998.2838141570363
7,988.300976015466
8,978.4179662553113
9,978.6779789038239
10,1006.4409941084778
11,1006.701056380857
12,1002.9183008962742
13,992.8891178873115
14,1018.0423088737974
15,1018.6825870554785
16,1013.9231684110396
17,1003.7839367269291
18,998.7456389750178
19,988.7581825852676
20,1008.533346236973
21,1008.4622393030427
22,1007.5910234039998
23,1008.1391946861627
24,1028.301978579886
25,1028.7758504594156
26,1029.235125392656
27,1018.9427741387295
28,1008.7533463973423
29,1028.928413325289
30,1029.1004389743296
31,1119.3247164542352
32,1152.5709947751363
33,1145.3161753712652
34,1145.4565327456978
35,1149.360330794517
36,1137.8667274865718
37,1126.4880602117062
38,1115.2231796095891
39,1114.6290033253708
40,1110.0209050648696
41,1111.2906706758304
42,1110.3523292154912
43,1118.2013715427029
44,1118.4837456264254
45,1107.2989081701612
46,1096.2259190884595
47,1085.2636598975748
48,1077.5117766125923
49,1099.0620121448442
50,1099.3249456405724
51,1090.2257373871348
52,1090.4156721845889
53,1090.656382045998
54,1129.9026653760845
55,1141.2016920298454
56,1141.054830343513
57,1163.8759269503832
58,1162.48030015129
59,1163.0978678107454
60,1154.5068040144163
61,1142.9617359742722
62,1131.5321186145295
63,1128.5012290110978
64,1117.216216720987
65,1106.044054553777
66,1094.983614008239
67,1095.1389308329208
68,1094.9192439862143
69,1090.688635593823
70,1152.0005213739798
71,1156.3722156602178
72,1144.8084935036156
73,1133.3604085685795
74,1133.9537909814421
75,1124.9812439945508
76,1125.139692057085
77,1119.1240937035125
78,1123.653881701836
79,1146.126959335873
80,1134.6656897425141
81,1123.319032845089
82,1123.5991622797135
83,1128.2087998685506
84,1116.9267118698651
85,1128.0959789885637
86,1119.0449763664467
87,1130.2354261301111
88,1130.7685560480966
89,1153.3839271690586
90,1141.850087897368
91,1164.6870896553153
92,1164.9275287737414
93,1167.0714087047436
94,1167.455313773396
95,1155.780760635662
96,1147.1651661364015
97,1135.6935144750375
98,1135.9131844004678
99,1158.631448088477
100,1167.2924417136592
101,1178.9653661307957
102,1177.343811824629
103,1178.094837895961
104,1196.6529985144311
105,1192.7182835401925
106,1180.7911007047906
107,1168.9831896977425
108,1157.293357800765
109,1164.2853385041453
110,1164.4074129826254
111,1159.0742492590402
112,1166.9475372759437
113,1165.6601574305505
114,1161.2772752386113
115,1184.5028207433836
116,1172.6577925359497
117,1173.138389991907
118,1239.5133252151963
119,1251.9084584673483
120,1252.1084438441
121,1264.629528282541
122,1257.8663080946562
123,1245.2876450137096
124,1257.7405214638468
125,1252.7827612072829
126,1290.1483687806829
127,1310.3948241341398
128,1323.4987723754812
129,1310.2637846517264
130,1446.0547586972784
131,1478.5909907679636
132,1469.3520482799736
133,1466.5403252246226
134,1451.8749219723763
135,1437.3561727526526
136,1422.982611025126
137,1423.229656617318
138,1408.9973600511448
139,1427.408258889147
140,1413.1341763002554
141,1427.265518063258
142,1434.8896452610136
143,1567.9350704729825
144,1577.3908632795483
145,1576.8650663251217
146,1585.3558782207226
147,1569.5023194385153
148,1553.8072962441302
149,1584.8834421690128
150,1572.8544113922962
151,1563.501394785514
152,1605.3347135224712
153,1589.2813663872464
154,1573.388552723374
155,1557.6546671961403
156,1573.2312138681018
157,1570.8617611579348
158,1564.4402163760587
159,1567.7623212775723
160,1583.439944490348
161,1567.6055450454444
162,1552.9408480111483
163,1537.4114395310369
164,1531.0655937088445
165,1561.6869055830214
166,1592.9206436946818
167,1585.3154881273977
168,1586.318852360389
169,1570.455663836785
170,1579.1946041161293
171,1590.119062328945
172,1593.1236477664854
173,1637.7311099039407
174,1621.3537988049013
175,1623.1134075787986
176,1633.7071547611304
177,1650.0442263087416
178,1641.4846218847647
179,1644.7889091106363
180,1661.2367982017427
181,1644.6244302197251
182,1628.1781859175278
183,1626.3130901627617
184,1626.7623479224749
185,1627.0029932402147
186,1638.431940646718
187,1622.0476212402507
188,1605.8271450278482
189,1712.988283220769
190,1706.3555003059414
191,1723.419055309001
192,1728.5893124749277
193,1763.1610987244262
194,1765.2238498705667
195,1765.5797417757822
196,1747.9239443580243
197,1765.4031838016047
198,1800.7112474776368
199,1800.968491941562
