direction,open_time,entry_price,initial_stop_loss,stop_loss,tp1,tp2,tp3,risk_percent,score,reasons,nearest_high_above,nearest_high_below,nearest_low_above,nearest_low_below,breakeven_active,breakeven_time,tp1_hit,tp1_time,tp2_hit,tp2_time,tp3_hit,tp3_time,max_profit_lock_level,candles_in_trade,close_time,close_price,close_reason,rr,result_percent,balance_before,balance_after
BUY,2025-08-29 07:15:00+00:00,3409.42,3407.98,3407.98,3410.86,3412.3,3413.7400000000002,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3423.18 zone=(3423.18-3423.18) touches=1 strength=1,SWING_HIGH price=3399.70 zone=(3399.70-3399.70) touches=1 strength=1,None,SWING_LOW price=3407.98 zone=(3407.98-3407.98) touches=1 strength=1,False,,False,,False,,False,,0,3,2025-08-29 08:00:00+00:00,3407.98,STOP LOSS,-1.0,-1.0,5343.277160306148,5289.844388703087
BUY,2025-08-29 08:30:00+00:00,3408.08,3407.98,3408.2799999999997,3408.18,3408.2799999999997,3408.3799999999997,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3423.18 zone=(3423.18-3423.18) touches=1 strength=1,SWING_HIGH price=3399.70 zone=(3399.70-3399.70) touches=1 strength=1,None,SWING_LOW price=3407.98 zone=(3407.98-3407.98) touches=1 strength=1,True,2025-08-29 08:45:00+00:00,True,2025-08-29 08:45:00+00:00,True,2025-08-29 08:45:00+00:00,True,2025-08-29 08:45:00+00:00,2,1,2025-08-29 08:45:00+00:00,3410.32,EXIT SIGNAL,22.400000000022736,22.400000000022736,5289.844388703087,6474.769531773782
BUY,2025-08-29 09:00:00+00:00,3410.32,3407.98,3407.98,3412.6600000000003,3415.0000000000005,3417.3400000000006,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3423.18 zone=(3423.18-3423.18) touches=1 strength=1,SWING_HIGH price=3399.70 zone=(3399.70-3399.70) touches=1 strength=1,None,SWING_LOW price=3407.98 zone=(3407.98-3407.98) touches=1 strength=1,False,,False,,False,,False,,0,5,2025-08-29 10:15:00+00:00,3407.98,STOP LOSS,-1.0,-1.0,6474.769531773782,6410.021836456044
BUY,2025-08-29 10:45:00+00:00,3409.87,3407.98,3411.7599999999998,3411.7599999999998,3413.6499999999996,3415.5399999999995,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3423.18 zone=(3423.18-3423.18) touches=1 strength=1,SWING_HIGH price=3399.70 zone=(3399.70-3399.70) touches=1 strength=1,None,SWING_LOW price=3407.98 zone=(3407.98-3407.98) touches=1 strength=1,True,2025-08-29 11:00:00+00:00,True,2025-08-29 11:00:00+00:00,True,2025-08-29 11:00:00+00:00,False,,1,4,2025-08-29 11:45:00+00:00,3411.7599999999998,PROFIT LOCK TP1,1.0,1.0,6410.021836456044,6474.122054820605
BUY,2025-08-29 12:00:00+00:00,3410.35,3407.98,3407.98,3412.72,3415.0899999999997,3417.4599999999996,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3423.18 zone=(3423.18-3423.18) touches=1 strength=1,SWING_HIGH price=3399.70 zone=(3399.70-3399.70) touches=1 strength=1,None,SWING_LOW price=3407.98 zone=(3407.98-3407.98) touches=1 strength=1,False,,False,,False,,False,,0,2,2025-08-29 12:30:00+00:00,3407.98,STOP LOSS,-1.0,-1.0,6474.122054820605,6409.380834272399
BUY,2025-08-29 15:00:00+00:00,3410.48,3406.57,3406.57,3414.39,3418.2999999999997,3422.2099999999996,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3414.84 zone=(3414.84-3414.84) touches=1 strength=1,SWING_HIGH price=3399.70 zone=(3399.70-3399.70) touches=1 strength=1,None,SWING_LOW price=3407.98 zone=(3407.98-3407.98) touches=1 strength=1,False,,False,,False,,False,,0,1,2025-08-29 15:15:00+00:00,3406.57,STOP LOSS,-1.0,-1.0,6409.380834272399,6345.287025929675
BUY,2025-08-29 15:45:00+00:00,3412.48,3406.57,3424.2999999999997,3418.39,3424.2999999999997,3430.2099999999996,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3423.18 zone=(3423.18-3423.18) touches=1 strength=1,SWING_HIGH price=3414.84 zone=(3414.84-3414.84) touches=1 strength=1,None,SWING_LOW price=3407.98 zone=(3407.98-3407.98) touches=1 strength=1,True,2025-08-29 16:00:00+00:00,True,2025-08-29 16:00:00+00:00,True,2025-08-29 16:30:00+00:00,True,2025-08-29 17:00:00+00:00,2,47,2025-09-01 04:30:00+00:00,3447.05,EXIT SIGNAL,5.8494077834181075,5.8494077834181075,6345.287025929675,6716.448739104625
BUY,2025-09-01 04:45:00+00:00,3447.05,3441.01,3459.13,3453.09,3459.13,3465.17,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",None,SWING_HIGH price=3453.87 zone=(3453.87-3453.87) touches=1 strength=1,None,SWING_LOW price=3441.01 zone=(3441.01-3441.01) touches=1 strength=1,True,2025-09-01 05:00:00+00:00,True,2025-09-01 05:00:00+00:00,True,2025-09-01 05:00:00+00:00,True,2025-09-01 05:00:00+00:00,2,2,2025-09-01 05:15:00+00:00,3459.13,PROFIT LOCK TP2,2.0,2.0,6716.448739104625,6850.777713886718
BUY,2025-09-01 05:30:00+00:00,3466.34,3441.01,3466.34,3491.67,3517.0,3542.33,1.0,85,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'M15 bullish timing']",None,SWING_HIGH price=3453.87 zone=(3453.87-3453.87) touches=1 strength=1,None,SWING_LOW price=3441.01 zone=(3441.01-3441.01) touches=1 strength=1,True,2025-09-02 04:15:00+00:00,True,2025-09-02 04:15:00+00:00,False,,False,,0,98,2025-09-02 09:30:00+00:00,3485.82,EXIT SIGNAL,0.7690485590209267,0.7690485590209267,6850.777713886718,6903.463521177091
BUY,2025-09-02 10:15:00+00:00,3484.11,3474.56,3474.56,3493.6600000000003,3503.2100000000005,3512.7600000000007,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3481.27 zone=(3481.27-3481.27) touches=1 strength=1,SWING_HIGH price=3453.87 zone=(3453.87-3453.87) touches=1 strength=1,None,SWING_LOW price=3474.56 zone=(3474.56-3474.56) touches=1 strength=1,False,,False,,False,,False,,0,2,2025-09-02 10:45:00+00:00,3474.56,STOP LOSS,-1.0,-1.0,6903.463521177091,6834.42888596532
BUY,2025-09-02 13:00:00+00:00,3476.57,3474.56,3478.5800000000004,3478.5800000000004,3480.5900000000006,3482.600000000001,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3481.27 zone=(3481.27-3481.27) touches=1 strength=1,SWING_HIGH price=3453.87 zone=(3453.87-3453.87) touches=1 strength=1,None,SWING_LOW price=3474.56 zone=(3474.56-3474.56) touches=1 strength=1,True,2025-09-02 13:15:00+00:00,True,2025-09-02 13:15:00+00:00,True,2025-09-02 13:15:00+00:00,False,,1,1,2025-09-02 13:15:00+00:00,3479.95,EXIT SIGNAL,1.6815920398006405,1.6815920398006405,6834.42888596532,6949.356098077549
BUY,2025-09-02 14:15:00+00:00,3483.37,3470.08,3509.95,3496.66,3509.95,3523.24,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3489.88 zone=(3489.88-3489.88) touches=1 strength=1,SWING_HIGH price=3486.12 zone=(3486.12-3486.12) touches=1 strength=1,None,SWING_LOW price=3474.56 zone=(3474.56-3474.56) touches=1 strength=1,True,2025-09-02 17:00:00+00:00,True,2025-09-02 17:00:00+00:00,True,2025-09-02 17:30:00+00:00,True,2025-09-02 19:00:00+00:00,2,136,2025-09-04 02:15:00+00:00,3557.99,EXIT SIGNAL,5.614747930775026,5.614747930775026,6949.356098077549,7339.5449257965465
BUY,2025-09-04 02:30:00+00:00,3557.99,3532.37,3532.37,3583.6099999999997,3609.2299999999996,3634.8499999999995,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3578.47 zone=(3578.47-3578.47) touches=1 strength=1,SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,None,SWING_LOW price=3532.37 zone=(3532.37-3532.37) touches=1 strength=1,False,,False,,False,,False,,0,3,2025-09-04 03:15:00+00:00,3560.08,EXIT SIGNAL,0.08157689305230892,0.08157689305230892,7339.5449257965465,7345.53229851119
BUY,2025-09-04 03:30:00+00:00,3560.08,3532.37,3532.37,3587.79,3615.5,3643.21,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3578.47 zone=(3578.47-3578.47) touches=1 strength=1,SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,None,SWING_LOW price=3532.37 zone=(3532.37-3532.37) touches=1 strength=1,False,,False,,False,,False,,0,4,2025-09-04 04:30:00+00:00,3547.98,EXIT SIGNAL,-0.436665463731501,-0.436665463731501,7345.53229851119,7313.456895836349
